  
  
 ,Maximum Robustness Radius Results: 
 ,ID,MRR (P1-4),QVIP-time (P1-4),ID,MRR (P1-6),QVIP-time (P1-6)
 ,1032,0,5.206538200378418,1032,3,59.974193811416626
 ,106,NA,NA,106,10,277.98715353012085
 ,1112,0,1.1449589729309082,1112,1,7.496990442276001
 ,1194,2,50.85658240318298,1194,2,30.173606395721436
 ,1303,4,389.63619780540466,1303,7,155.4101526737213
 ,1489,10,4817.373869895935,1489,15,1309.1157383918762
 ,1722,2,123.26907157897949,1722,4,70.30275678634644
 ,1757,7,4210.9463148117065,1757,NA,NA
 ,1811,6,507.4816596508026,1811,10,564.5492949485779
 ,1813,1,104.25743246078491,1813,5,448.52212715148926
 ,1950,5,307.23423862457275,1950,NA,NA
 ,2151,5,548.0242877006531,2151,13,1164.5099475383759
 ,2247,NA,NA,2247,10,81.76325607299805
 ,2448,2,508.028945684433,2448,6,523.490594625473
 ,2474,2,111.89955568313599,2474,6,712.8762924671173
 ,2492,NA,NA,2492,22,2194.5966069698334
 ,252,NA,NA,252,13,2991.6252903938293
 ,2612,NA,NA,2612,NA,NA
 ,2714,NA,NA,2714,15,148.29360246658325
 ,2715,4,356.09819173812866,2715,4,185.83463191986084
 ,2768,10,2081.085540294647,2768,NA,NA
 ,2823,3,870.4166464805603,2823,0,4.4756951332092285
 ,3066,2,455.53863310813904,3066,4,420.08719635009766
 ,3083,NA,NA,3083,22,5811.673272848129
 ,315,NA,NA,315,9,465.4951856136322
 ,3266,8,977.5945045948029,3266,10,1214.683409690857
 ,3356,9,4725.556399822235,3356,NA,NA
 ,3414,5,449.99179673194885,3414,7,63.39397358894348
 ,342,NA,NA,342,NA,NA
 ,3422,0,1.0813915729522705,3422,0,5.1389851570129395
 ,3600,5,218.41663789749146,3600,9,29.993123531341553
 ,3655,7,1108.0964801311493,3655,11,256.2850739955902
 ,3793,2,120.11091470718384,3793,3,494.4613301753998
 ,3914,NA,NA,3914,NA,NA
 ,4023,NA,NA,4023,21,1041.5033340454102
 ,4068,1,131.945782661438,4068,0,1.1644012928009033
 ,4265,NA,NA,4265,1,147.26137447357178
 ,4372,3,261.44579124450684,4372,10,954.5574946403503
 ,4433,0,1.1404054164886475,4433,1,30.701438188552856
 ,4440,4,393.6542820930481,4440,NA,NA
 ,4471,11,5423.19100737571,4471,15,2574.3996703624725
 ,4700,7,1441.4636392593384,4700,10,2825.0651621818542
 ,4847,NA,NA,4847,NA,NA
 ,4989,6,3241.858479976654,4989,NA,NA
 ,513,NA,NA,513,21,689.3740677833557
 ,5173,5,114.35084819793701,5173,7,479.38489151000977
 ,521,NA,NA,521,5,1262.5896739959717
 ,5229,6,2560.2254326343536,5229,9,94.38675355911255
 ,5290,13,1134.416011095047,5290,NA,NA
 ,5307,NA,NA,5307,NA,NA
 ,5336,NA,NA,5336,11,184.93470239639282
 ,5496,NA,NA,5496,NA,NA
 ,5554,NA,NA,5554,NA,NA
 ,5569,3,104.22253203392029,5569,12,642.8140685558319
 ,5653,5,105.64310550689697,5653,3,6.19769811630249
 ,5993,NA,NA,5993,NA,NA
 ,6037,1,53.38548469543457,6037,0,7.360937833786011
 ,6325,NA,NA,6325,NA,NA
 ,6385,2,18.928176879882812,6385,8,35.460923194885254
 ,6408,NA,NA,6408,NA,NA
 ,6573,4,899.3562424182892,6573,6,150.168639421463
 ,6634,NA,NA,6634,NA,NA
 ,6656,6,1363.9120862483978,6656,NA,NA
 ,6722,NA,NA,6722,20,3316.247406721115
 ,6760,16,2692.5659544467926,6760,22,167.14756989479065
 ,6876,NA,NA,6876,16,3013.4516744613647
 ,698,5,512.9588911533356,698,3,15.703022003173828
 ,7018,8,358.80517768859863,7018,13,5266.6850554943085
 ,712,2,81.00458192825317,712,8,598.6819310188293
 ,7236,NA,NA,7236,NA,NA
 ,7364,NA,NA,7364,18,217.84647035598755
 ,7410,6,778.3541016578674,7410,NA,NA
 ,7458,NA,NA,7458,NA,NA
 ,7496,NA,NA,7496,NA,NA
 ,76,NA,NA,76,11,10142.582595348358
 ,7609,NA,NA,7609,16,679.7269625663757
 ,7714,NA,NA,7714,10,2929.667608976364
 ,7847,1,34.46164035797119,7847,0,1.2497658729553223
 ,7892,4,61.604352712631226,7892,NA,NA
 ,8000,NA,NA,8000,9,8.568771123886108
 ,8010,4,24.456069707870483,8010,9,76.47245502471924
 ,8105,6,1660.9071650505066,8105,NA,NA
 ,8454,NA,NA,8454,NA,NA
 ,8481,NA,NA,8481,28,3259.4105367660522
 ,8587,NA,NA,8587,NA,NA
 ,8701,NA,NA,8701,NA,NA
 ,8709,7,1137.081545829773,8709,12,6662.18500995636
 ,8848,10,3038.7350759506226,8848,12,1113.1690623760223
 ,8922,NA,NA,8922,NA,NA
 ,9099,NA,NA,9099,11,177.93987250328064
 ,9211,0,1.020355463027954,9211,3,233.17382407188416
 ,9294,9,4659.5602967739105,9294,NA,NA
 ,931,3,1458.7078931331635,931,NA,NA
 ,9459,NA,NA,9459,21,103.61921095848083
 ,9465,1,16.01238989830017,9465,7,104.70604538917542
 ,9800,6,640.1548354625702,9800,NA,NA
 ,9830,5,918.6759948730469,9830,10,954.7204802036285
 ,9893,0,1.090665578842163,9893,2,120.52688241004944
 ,9921,NA,NA,9921,9,487.0830099582672
 ,9927,5,1048.0753648281097,9927,6,413.87462615966797
